Name ,Link,Comment,Emotion,Tag
Åbìr HøSäåìñ Shövøñ,https://www.facebook.com/groups/420146229762480,মোবাইলে কানেক্ট করা যায়??,Neutral,1
Mohammad Faruqul Islam,https://www.facebook.com/groups/420146229762480,ওয়াও,Positive,2
Mamun Ahmed Bijoy,https://www.facebook.com/groups/420146229762480,আপনাদের কি আগে পেমেন্ট করতে হবে?,Neutral,1
Stark Sourav,https://www.facebook.com/groups/420146229762480,কমেন্টে বলতে কি প্রব্লেম?,Negative,0
Mohammad Sadikur Rahman,https://www.facebook.com/groups/420146229762480,সুপার ডুপার চমৎকার। গুণমান ... আমার  সত্যিই এটা পছন্দ!,Positive,2
আর এস রাফি,https://www.facebook.com/groups/420146229762480,ভালো পণ্য! এটি প্যাক করা এবং ভাল অবস্থায় বিতরণ করা হয়েছিল! দুটোই ভালো কাজ করছে! ধন্যবাদ ,Positive,2
Ibrahim Kardhi Ovy,https://www.facebook.com/groups/420146229762480,"চাবুকটি  যথেষ্ট নরম কব্জিতে অস্বস্তি না হওয়ার  কারণ , এবং ঘড়িটির অনেকগুলি ফাংশন রয়েছে। ধন্যবাদ",Positive,2
খন্দকার মুশফিকুজ্জামান আরেফিন,https://www.facebook.com/groups/420146229762480,"এক সপ্তাহের মধ্যে পণ্যটি পেয়েছি, সম্পূর্ণ এবং সঠিক পন্য টি পেয়েছি",Positive,2
Md. Atik Ullah,https://www.facebook.com/groups/420146229762480,"আইটেমটি ভাল কাজ করছে, ব্যাটারি দীর্ঘ সময় স্থায়ী হয়, ফাংশনগুলি ভাল কাজ করছে। আপনাকে ধন্যবাদ বিক্রেতা ",Positive,2
Shamim Hossain,https://www.facebook.com/groups/420146229762480,দাম এবং এক্সটা সিম চলে?  ,Neutral,1
Motin Khan,https://www.facebook.com/groups/420146229762480,হালার পুত তোর মাল তু্ই রাখ,Negative,0
Mahmudul Hasan,https://www.facebook.com/groups/420146229762480,ওরে চিটার,Negative,0
Shemul Khan,https://www.facebook.com/groups/420146229762480,ভাই লাগবে ইনবক্স করুন প্লিজ,Positive,2
Akash Khan,https://www.facebook.com/groups/420146229762480,এইটা লাগবে একটা প্রাইস প্লিজ??,Positive,2
Abdur Rahaman,https://www.facebook.com/groups/420146229762480,আচছা এগুলার রেট কত ??,Neutral,1
নাজমুল হাসান রাসেল,https://www.facebook.com/groups/420146229762480,প্লিজ দাম তা একবার বলতেন,Neutral,1
Shariear Ahammed,https://www.facebook.com/groups/420146229762480,শুধু বেল্ট পাওয়া যাবে সাদাটার  আর দাম কত?,Neutral,1
SH Sawon,https://www.facebook.com/groups/420146229762480,গ্রাউন্ড কোনো শপ এ গেলে দেখা যাবে?,Neutral,1
Tapos Talukdar,https://www.facebook.com/groups/420146229762480,এমাজফিট গেটস ২ মিনি তে ডিসকাউন্ট চাই,Neutral,1
Shezan Mahbub Apon,https://www.facebook.com/groups/420146229762480,এত ডিসকাউন্ট কিভাবে সম্ভব,Positive,2
Margin Hosain Nibir,https://www.facebook.com/groups/420146229762480,এই ডিভাইসটির বিশেষত্ব কি??,Neutral,1
MD Ahasnul Karim,https://www.facebook.com/groups/420146229762480,এটি আপেল সমর্থিত নয়।,Neutral,1
Jewel Kar,https://www.facebook.com/groups/420146229762480,কোন এক্সচেঞ্জ অফার আছে কি?,Neutral,1
Shahariar Emon,https://www.facebook.com/groups/420146229762480,অফিসিয়াল স্টোরে কোথায় আপনাদের.??,Neutral,1
MD Rokonuzzaman,https://www.facebook.com/groups/420146229762480,এটা কি আসল?,Neutral,1
Nazmul Hassan,https://www.facebook.com/groups/420146229762480,এটা কি অরজিনাল  এবং এটায় কি  কলিং ফিচার  আছে?,Positive,2
Adibe Sarzil,https://www.facebook.com/groups/420146229762480,কতদিন এই ক্যাম্পেইন চলবে?,Neutral,1
Muslim Uddin,https://www.facebook.com/groups/420146229762480,এই মডেল টা আমি নিতে পারব ?,Positive,2
Mɽ Pèŗfècţ,https://www.facebook.com/groups/420146229762480,ওয়্যারলেস চার্জিং সাপোর্ট করে?,Neutral,1
Md Imran Chowdhury,https://www.facebook.com/groups/420146229762480,ইন্টারনেট কলিং সাপোর্ট করে এমন কোন স্মার্ট ওয়াচ আছে??,Positive,2
Asif Ud Daulla,https://www.facebook.com/groups/420146229762480,ই এম আই কত মাসের পাব?,Positive,2
Md Raihan,https://www.facebook.com/groups/420146229762480,আমি কিভাবে এটি পেতে পারি?,Positive,2
Mohidul Islam,https://www.facebook.com/groups/420146229762480,আমি নিব,Positive,2
Saddam Hossain,https://www.facebook.com/groups/420146229762480,কি কি ফিচার আছে?,Neutral,1
Nazmul Hasan Rabby,https://www.facebook.com/groups/420146229762480,ডিসপ্লে ওয়াচ স্টাইল কি এক রকম?,Neutral,1
Mohammad Abdul Wadud,https://www.facebook.com/groups/420146229762480,"ইএমাই তে  কিভাবে পেমেন্ট করবো , প্লিজ হেল্প",Positive,2
Md Raihan,https://www.facebook.com/groups/420146229762480,এই প্রোডাক্ট টা  ০% এ  কয়টা ইএম আই এভেইলেবল?,Positive,2
Md Raihan,https://www.facebook.com/groups/420146229762480,গোল্ড কালার আছে? ,Positive,2
Pavel Adnan,https://www.facebook.com/groups/420146229762480,এটা দিয়ে কথা বলা যাবে?,Positive,2
Bayezid Talukder Nazim,https://www.facebook.com/groups/420146229762480,কি কি কালার হবে ?,Neutral,1
Shabel Ahmed,https://www.facebook.com/groups/420146229762480,এখনও ২০২১ এর  ফেব্রুয়ারি থেকে ব্যবহার করছি,Positive,2
Kamrul Hasan,https://www.facebook.com/groups/420146229762480,আমি  ১৬হাজার খরচ করে কিনে তো ঠকে গেলাম,Negative,0
Akhtar Hossain Azad,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এখন তোর অনেক টাকা.. আমাকে কিনে দে,Positive,2
Faruk Ahamed,https://www.facebook.com/search/top?q=daraz%21online%21shopping,কিভাবে অরডার করব?,Positive,2
Md Pabel,https://www.facebook.com/search/top?q=daraz%21online%21shopping,"আপেল ঘড়ির মতো সুন্দর, উপযুক্ত দাম। আবার কিনবো",Positive,2
MD Hussain Ali,https://www.facebook.com/search/top?q=daraz%21online%21shopping,"পণ্যটি  পেয়েছি, ঘড়িটি খুব সুন্দর..",Positive,2
Rahul Jetley,https://www.facebook.com/search/top?q=daraz%21online%21shopping,চীনা প্রোডাক্ট দিয়ে চী্না  কাষ্টমেরস পাওয়া যায়.,Negative,0
Shabel Ahmed,https://www.facebook.com/search/top?q=daraz%21online%21shopping,নাইস বাট ডিসপ্লে টা কি এমলেড...???,Positive,2
Zarifa Sultana,https://www.facebook.com/search/top?q=daraz%21online%21shopping,দাম কি কিছু কমানো যাবে গেলে নিতাম,Positive,2
Riazul Islam Riyad,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ভাই আমার স্মার্ট ওয়াচ আর একটা বেল  লাগবে  ?,Positive,2
Mizanur Rahman,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এটা তে কি ফেইসবুক র মেসেজের চালানো যায়??,Positive,2
Mohammad Shah Jalal,https://www.facebook.com/search/top?q=daraz%21online%21shopping,মি ব্রান্ড ত বাল  ছিরছিল ,Negative,0
Shaikh Mohd Anas,https://www.facebook.com/search/top?q=daraz%21online%21shopping,আপেল ওয়াচ র ছোট ভাই না বলে ডাইরেক্ট কপি বললেই তো হয় ৩র্ড স্টেজ কপি ,Negative,0
Juel HD,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ভাই তেরোশো টাকা দিচ্ছি আমার জন্য একটা পাঠান,Positive,2
Tobibur Rahman,https://www.facebook.com/search/top?q=daraz%21online%21shopping,গরিব! বৌ থাকতে বুয়া কে কেন ধরবো?,Negative,0
Ahmed Shakir,https://www.facebook.com/search/top?q=daraz%21online%21shopping,চানা ফোন তাই দাম কম।,Negative,0
Nahid Arhan,https://www.facebook.com/search/top?q=daraz%21online%21shopping,কোলের এর লগে এইটাও ওদের দিয়ে দাও,Positive,2
Arup Baral,https://www.facebook.com/search/top?q=daraz%21online%21shopping,আমার এল ৭ মডেল  এর স্মার্টওয়াচটা রয়েছে।অসাধারণ ওয়াচ।৭ দিন ব্যাকআপ দিবে।আর না ইয়ুজ করলে মাস পার হয়ে যাবে।দামটা ভিডিওর ওয়াচের দ্বিগুণেরও বেশি,Positive,2
Jisan Bin Hossain,https://www.facebook.com/search/top?q=daraz%21online%21shopping,আমার কাছে আছে.আমার ওয়াচ এর প্রাইস হলো ৫৬০০০ টাকা ,Positive,2
Projapotir Dana,https://www.facebook.com/search/top?q=daraz%21online%21shopping,চার্জ  হতে কতক্ষণ লাগবে?,Neutral,1
Ariful Islam,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এই তা দিয়া পাব্জি  খেলা যাবে ,Neutral,1
Md. Ariful Islam,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ওয়াই ফাই লাইন হবে,Neutral,1
Adib Hosain,https://www.facebook.com/search/top?q=daraz%21online%21shopping,১৪০০/- করে কারো লাগ্লে আমাকে জানাবেন,Negative,0
Galiv Mahmud Amirul,https://www.facebook.com/search/top?q=daraz%21online%21shopping,আসসালামু আলাইকুম এই ঘরি মোবাইলে দাম কত হবে ভাই,Neutral,1
অগ্নীশ্বর রায়,https://www.facebook.com/search/top?q=daraz%21online%21shopping,আমি কিনতে চাই,Positive,2
Monir Sakil,https://www.facebook.com/search/top?q=daraz%21online%21shopping,"ও মাই গড !! এই ঘড়িটা খুব সুন্দর!! আমি এটা ভালবাসি. হালকা, ক্লাসি  এবং অনেক অনুষ্ঠানের জন্য পরতে পারেন",Positive,2
Pinto Ture,https://www.facebook.com/search/top?q=daraz%21online%21shopping,"এটি বাস্তবে আরও সুন্দর, আপনাকে শুধুমাত্র অ্যাপটি ডাউনলোড করতে হবে ,  সময় ভুল হলে আপনার ফোনের ব্লুটুথ ব্যবহার করে  সময় পরিবর্তন করতে পারবেন , এটি জলরোধী এবং চার্জ করা খুব সহজ শুধু এটিকে ক্লিপ করুন এবং এতে প্রচুর ফাংশন রয়েছে ",Positive,2
Monir Sakil,https://www.facebook.com/search/top?q=daraz%21online%21shopping,"ডেলিভারি, দাম",Neutral,1
Pinto Ture,https://www.facebook.com/search/top?q=daraz%21online%21shopping,আরো বিস্তারিত জানার জন্য আপনার হোয়াটস্যাপ নম্বর দেন ?,Neutral,1
Monir Sakil,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ব্যাটারি ব্যাকআপ একদম বাজে  ,Negative,0
Monir Sakil,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ভাই ঘড়ি টা অরিজিনাল না কপি আমি একটা নিয়ে ঠকেছি,Negative,0
Pinto Ture,https://www.facebook.com/search/top?q=daraz%21online%21shopping,দাম ঠিক আছেতো,Neutral,1
Monir Sakil,https://www.facebook.com/search/top?q=daraz%21online%21shopping,পানি ঢোকবে,Neutral,1
Md Masudur Rahman,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এক নাম্বার অলিভস ঘড়িতো,Positive,2
Motin Khan,https://www.facebook.com/search/top?q=daraz%21online%21shopping,পানি তে ভিজা জাবে,Positive,2
Atikur Rahman,https://www.facebook.com/search/top?q=daraz%21online%21shopping,কিনে দিবি ?,Positive,2
Monir Sakil,https://www.facebook.com/search/top?q=daraz%21online%21shopping,আমি আর নিব না ভাইয়া,Negative,0
Pinto Ture,https://www.facebook.com/search/top?q=daraz%21online%21shopping,পছন্দ হইছে ,Positive,2
Monir Sakil,https://www.facebook.com/search/top?q=daraz%21online%21shopping,উফ সেই ,Positive,2
Faruk Ahmed Rajib,https://www.facebook.com/search/top?q=daraz%21online%21shopping,পুরাই একটা দুর্দান্ত স্মার্ট ওয়াচ,Positive,2
MD Shohag Hossain Rasel,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ই বাজেটে মধ্যে ভালো একটা প্রডাক্ট,Positive,2
Ahnaf Khan,https://www.facebook.com/search/top?q=daraz%21online%21shopping,"বেল্ট ম্যাগ্নেটিক যেটা আছে সেটা অতো ভালো না, যেমনটা আমি আশা করেছিলাম।",Negative,0
Zahirul Hasan,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এখানে কি গ্যালারি অপশন আছে মানে ছবি দেখার কোন অপশন আছে ?,Neutral,1
Rajon Sarker,https://www.facebook.com/search/top?q=daraz%21online%21shopping,কথা বলা যাবে?,Neutral,1
Emran Hussain,https://www.facebook.com/search/top?q=daraz%21online%21shopping,বক্স এ কি কি থাকবে  ,Positive,2
Mushfiq Al Shad,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এই ওয়াচ এর হার্ট রেট সেন্সর গুলো কি কাজ করে?,Neutral,1
Afzal Hossain,https://www.facebook.com/search/top?q=daraz%21online%21shopping,হোয়াটস্যাপ নোটিফিকেশন পাওয়া যাবে এই ওয়াচ দিয়ে???,Neutral,1
Mokim Jan,https://www.facebook.com/search/top?q=daraz%21online%21shopping,আজকে অর্ডার করলে কবে  পেতে পারি,Positive,2
Mridha Samrat,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এই টা কি মেটাল,Neutral,1
Abul Kalam,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ঈদ এর পরে কি স্টক আসবেনা?,Positive,2
Abdullah Al Mahmud,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এটা আবার পাওয়া যাবে কখন?,Positive,2
Md Piyar Hossain,https://www.facebook.com/search/top?q=daraz%21online%21shopping,বেল্ট টা কি ফ্লাট হয় না নরমাল ঘড়ির মতো.,Positive,2
MD Sayem,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এইটার সাথে কি প্রটেক্টর পাবো?,Neutral,1
Rakibul Hasan Akul,https://www.facebook.com/search/top?q=daraz%21online%21shopping,তিনটি বেল্ট পাওয়া যাবে?,Neutral,1
Blemish Zenith,https://www.facebook.com/search/top?q=daraz%21online%21shopping,হোম ডেলিভারির ক্ষেত্রে কি প্যাকেট খুলে চেক করে নিতে পারবো?,Positive,2
আহসান হাবিব,https://www.facebook.com/search/top?q=daraz%21online%21shopping,"ভাই, এটায় বাংলা সাপোর্ট করে? মানে শুধু ইউজার ইন্টারফেসে বাংলা লেখা না, বাংলায় কোন মেসেজ বা নোটিফিকেশন আসলে পড়া যাবে?",Positive,2
MD Moklesur Rohman,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এই ঘড়িটার ওয়ারেন্টি বা গ্যারেন্টি কার্ড আছে কি যদি থাকে তাহলে তা কত মাসের রিপ্লাই দিয়ে জানিয়ে দিলে খুবই উপকৃত হতাম,Positive,2
Arafat Rahman Anik,https://www.facebook.com/search/top?q=daraz%21online%21shopping,কতদূর থেকে কথা বলা যাবে. ওয়াটারপ্রুফ তো.পানিতে সুমিং করা যাবে ? ,Positive,2
NH Hridoy,https://www.facebook.com/search/top?q=daraz%21online%21shopping,আগে তো আরো সাড়ে ৩০০ টাকা দাম কম ছিল এখন আবার তার চেয়েও বেশি দাম বাড়াইলেন কেন,Negative,0
Abdullah Shahin,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ওয়ারেন্টি সার্ভিস কিভাবে দেন?,Neutral,1
Minhaz Ahmed,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ভাই  এটা কি এপে এ কানেক্ট না করে ব্যাবহার করা যাই??? ,Neutral,1
Md Mohsinul Haque,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ব্রো স্লীপি মোড কাজ করতেসে না ওয়াচ এর ,Negative,0
মুসাফির ছাদিরী চিশতী,https://www.facebook.com/search/top?q=daraz%21online%21shopping,সব রিভিউ ফেক  নেয়া সবাই একটু ভালো করে খেয়াল করলেই বুজতে পারবে,Negative,0
আদনান ফারাবি জিহাদ,https://www.facebook.com/search/top?q=daraz%21online%21shopping,আমি ২-৩ মাসের মতো ব্যাবহার করছি অনেক ভালো।,Positive,2
মুসাফির ছাদিরী চিশতী,https://www.facebook.com/search/top?q=daraz%21online%21shopping,মাঝে মাঝে টাস ঠিক মতো কাজ করে না,Negative,0
Sree Bhabuk,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ভাই ফোনের সব কন্টাক্ট নম্বর দেখা যাবে তো,Neutral,1
Ranajit Chakraborty Ronjit,https://www.facebook.com/search/top?q=daraz%21online%21shopping,কুন্ আপ্প এর সাথে কানেক্ট করা লাগবে?,Neutral,1
MD Rasel,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ভাই এটার  সাথে কি কি  পাবো? ১ তা স্ক্রিন প্রটেক্টর কে দেবেন ? ,Neutral,1
Md Mohsinul Haque,https://www.facebook.com/search/top?q=daraz%21online%21shopping,প্রোডাক্ট এ সমস্যা হলে ওয়ারেন্টি দিয়ে কিভাবে  ঠিক করবো? ,Positive,2
আদনান ফারাবি জিহাদ,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ওয়াচ এ যদি কোন প্রোবলেম হয় তাহলে..কিভাবে সল্ভ করবো..আপনাদের শোরুম কোথায়? ,Positive,2
মুসাফির ছাদিরী চিশতী,https://www.facebook.com/search/top?q=daraz%21online%21shopping,স্যার আমি ব্রাউন কালার টা  নিসি .এখন কি এক্সচেঞ্জ করে ব্ল্যাক তা নেওয়া যাবে.? ,Neutral,1
Ranajit Chakraborty Ronjit,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এটাতে কি ধরনের গ্লাস ব্যবহার করা হয়েছে? আর ব্যাটারী কত এমএএইচ এর?,Neutral,1
MD Rasel,https://www.facebook.com/search/top?q=daraz%21online%21shopping,অর্ডার করলাম,Positive,2
Abubakar Sdk,https://www.facebook.com/search/top?q=daraz%21online%21shopping,কোয়ালিটি একদম যা তা।,Negative,0
Minhaz Ahmed,https://www.facebook.com/search/top?q=daraz%21online%21shopping,সেন্সর গুলো সব ভুয়া,Negative,0
Tahsin Ahmed,https://www.facebook.com/search/top?q=daraz%21online%21shopping,"রাইজ টু ওয়াক কাজ করে কিন্তু ঠিকমত কাজ করে না, প্লাস্টিক বডি চিপ একটা ফিল দেয়।",Negative,0
Saad Walid,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ব্যাটারি ব্যাকআপ একদম বাজে,Negative,0
আদনান ফারাবি জিহাদ,https://www.facebook.com/search/top?q=daraz%21online%21shopping,এত দামি একটা ঘড়ির কাছ থেকে আমি এটা আশা করিনি 😓,Negative,0
আদনান ফারাবি জিহাদ,https://www.facebook.com/search/top?q=daraz%21online%21shopping,"গত কাল হাতে পেলাম! সারাদিন ব্যবহার করছি দাম অনুযায়ী আমার মতে ১০০ তে ১০০ পাবে, কিছু কমতি আছে তবে দামের কথা বিবেচনা করলে এই দামে সেরা! আমি ১০০% সন্তুষ্ট!❤️❤️❤️",Positive,2
Saad Walid,https://www.facebook.com/search/top?q=daraz%21online%21shopping,ভাই যে রকমটা চেয়েছি ঠিক তেমনটাই পেয়েছি অসংখ্য ধন্যবাদ,Positive,2
Saad Walid,https://www.facebook.com/search/top?q=daraz%21online%21shopping,সবাই নিতে পারেন আমি ১ দিন ব্যবহার করেছি সাউন্ড কল কোয়ালিটি ভালো..অরিজিনাল প্রুডাক্ট দেই র সেলার এর ব্যবহার ও ভালো ছিলো অনেক,Positive,2
Muhammad Shamim,https://www.facebook.com/search/top?q=daraz%21online%21shopping,জোস্স্ একটি স্মার্ট ওয়াচ.. সব ফাঙ্কশন ভালো কাজ করে.আমরা কাছে ভালো লাগছে অওডি টা.. অওডি ব্রাইটনেস কম হওয়ার জন্য চার্জ টা কম খাচ্ছে.,Positive,2
